.847195,11,0,n,483,909
.009852,11,0,n,1,-1
.009845,11,0,n,1,-1
.010178,11,0,n,2,-3
.009745,11,0,n,3,-2
.009950,11,0,n,3,-2
.009989,11,0,n,3,-1
.008840,11,0,n,2,-1
.010734,11,0,n,3,-1
.009075,11,0,n,2,1
.009952,11,0,n,2,0
.009957,11,0,n,2,1
.009836,11,0,n,3,2
.010284,11,0,n,3,4
.008791,11,0,n,4,5
.010654,11,0,n,4,5
.009220,11,0,n,4,5
.010093,11,0,n,5,4
.010012,11,0,n,3,3
.008798,11,0,n,3,3
.010221,11,0,n,4,3
.009951,11,0,n,3,2
.010110,11,0,n,4,2
.009012,11,0,n,3,2
.010115,11,0,n,2,1
.010352,11,0,n,3,1
.008572,11,0,n,1,1
.009881,11,0,n,1,1
.010071,11,0,n,1,0
.009808,11,0,n,1,1
.010018,11,0,n,2,0
.009880,11,0,n,1,1
.011124,11,0,n,2,0
.008622,11,0,n,2,1
.009031,11,0,n,2,0
.009804,11,0,n,2,0
.009850,11,0,n,2,0
.010351,11,0,n,4,-1
.009643,11,0,n,4,-1
.009922,11,0,n,6,-2
.009879,11,0,n,6,-2
.009887,11,0,n,6,-2
.009485,11,0,n,5,-2
.009332,11,0,n,6,-2
.009894,11,0,n,5,-2
.010044,11,0,n,5,-3
.009871,11,0,n,6,-3
.009995,11,0,n,6,-4
.010040,11,0,n,8,-5
.009154,11,0,n,7,-4
.009794,11,0,n,8,-6
.009987,11,0,n,8,-8
.009997,11,0,n,8,-10
.009871,11,0,n,9,-10
.009383,11,0,n,9,-12
.009623,11,0,n,10,-11
.010034,11,0,n,9,-9
.009944,11,0,n,10,-9
.010098,11,0,n,10,-9
.009492,11,0,n,11,-8
.009611,11,0,n,10,-7
.010087,11,0,n,10,-6
.008925,11,0,n,9,-7
.010007,11,0,n,9,-7
.010047,11,0,n,10,-7
.009929,11,0,n,9,-9
.010537,11,0,n,9,-8
.008751,11,0,n,9,-9
.009978,11,0,n,8,-9
.010180,11,0,n,8,-7
.008993,11,0,n,7,-6
.010341,11,0,n,7,-5
.009795,11,0,n,6,-4
.010145,11,0,n,7,-4
.009082,11,0,n,6,-3
